,Gene Name,log2(Fold change),P-value
786,FKBP1A,0.046,0.923
787,RPS27A;UBC;UBB;UBA52,-1.31,0.089
788,RAC1;RAC3,0.264,0.487
789,AP2B1,0.8,0.027
790,YWHAZ,-0.296,0.234
791,PPP2R2A,1.078,0.036
792,DYNLL1;DYNLL2,-0.577,0.16
793,RPS21,0.166,0.597
794,GNB2L1,-0.203,0.415
795,TMSB10,-0.572,0.418
796,EEF1A1;EEF1A1P5,0.303,0.229
797,ACTA1,-0.14,0.597
798,TUBA1B;TUBA4A,-0.034,0.931
799,TUBB4B,-0.691,0.028
800,EIF4G2,0.258,0.334
801,CCT2,0.561,0.125
802,GSTO1,-0.247,0.519
803,PRKDC,1.335,0.009
804,MRPS9,1.578,0.089
805,SARNP,1.088,0.024
806,RPL24,-0.605,0.047
807,ARF1;ARF3,1.728,0.102
808,ERH,-0.821,0.185
809,RBM10;RBM6,1.176,0.091
810,RBM3,-1.48,0.14
811,TFAM,1.354,0.009
812,CLTC,1.482,0.322
813,FKBP3,1.521,0.002
814,SORD,0.948,0.087
815,HNRNPU,0.368,0.146
816,FABP5,0.551,0.14
817,CAP1,0.046,0.838
818,HMGCS1,0.278,0.466
819,PFKP,1.786,0.005
820,RPL18A,-0.124,0.646
821,FKBP4,0.376,0.152
822,RPL6,-0.247,0.317
823,LMNB2,0.926,0.119
824,GLO1,-0.758,0.153
825,YWHAH,-0.233,0.505
826,SRSF11,0.672,0.138
827,PPAT,0.849,0.032
828,GFPT1,0.532,0.26
829,PSME1,1.024,0.089
830,PRDX1,-0.319,0.229
831,CKAP4,-0.624,0.121
832,KHDRBS1,2.112,0.157
833,BAX,0.857,0.08
834,ARHGAP1,3.639,0.064
835,PPP3CA;PPP3CB,1.854,0.001
836,DHX9,0.695,0.146
837,PPID,1.337,0.073
838,SSRP1,0.445,0.106
