,Gene Name,log2(Fold change),P-value
392,RPL18A,0.208,0.161
393,TECR,-0.54,0.014
394,AGPS,-0.253,0.132
395,DDX39A,0.218,0.18
396,ACOT7,0.128,0.508
397,AIP,-0.254,0.285
398,PSMD11,-0.338,0.04
399,PSMD12,-0.573,0.356
400,PGRMC1,-0.263,0.143
401,SUPT5H,-0.023,0.893
402,DFFA,-0.213,0.496
403,CLIC1,-0.075,0.611
404,EIF3F,0.186,0.235
405,IPO5,0.335,0.223
406,SAP18,-0.141,0.862
407,DNM1L,0.118,0.468
408,PSMD14,-0.211,0.325
409,KPNA3,-0.358,0.062
410,PODXL,0.08,0.761
411,PPP6C,0.421,0.043
412,PDXK,1.083,0.23
413,PDCD5,-0.096,0.635
414,PRMT5,0.468,0.026
415,SLC9A3R1,0.213,0.221
416,TCERG1,-0.743,0.033
417,PSMA7,-0.343,0.067
418,SCAMP3,-0.241,0.223
419,GIPC1,-0.479,0.045
420,HAT1,-0.248,0.134
421,UQCRQ,-0.216,0.438
422,XPO1,-0.212,0.195
423,PFAS,-0.173,0.289
424,NPC1,0.755,0.008
425,ARPC1B,-0.284,0.185
426,ARPC3,-0.427,0.047
427,PGRMC2,-0.168,0.385
428,SURF4,0.007,0.963
429,OGT,-0.693,0.083
430,PPM1G,-0.194,0.314
431,EIF3D,0.382,0.047
432,STX7,0.826,0.009
433,P4HA2,2.618,0.163
434,MAGEB2,-0.321,0.073
435,YKT6,-0.072,0.776
436,ARPC5,-0.142,0.42
437,DHX15,-0.094,0.524
438,RNMT,-0.244,0.332
439,PRPF4,-1.825,0.0
440,PSMD3,0.003,0.98
441,ZW10,-0.343,0.085
442,SART1,-0.008,0.968
443,HNRNPR,-0.009,0.954
444,TXNL1,-0.367,0.029
445,TPD52L2,0.163,0.55
446,PPIH,0.136,0.324
447,EPB41L2,0.388,0.037
448,TIMM44,-0.143,0.473
449,PLRG1,0.03,0.813
450,NDUFA2,0.584,0.009
451,ASNA1,-0.21,0.387
452,ACTN4,0.194,0.192
453,SGTA,0.105,0.566
454,NARS,0.158,0.329
455,NUDT21,-0.628,0.005
456,RRP9,-0.668,0.142
457,CALU,-0.083,0.784
458,AHCYL1;AHCYL2,-0.049,0.857
459,RAD21,-0.481,0.045
460,TIMM8A,-0.099,0.675
461,SMARCA5,-1.422,0.215
462,AQR,-3.515,0.013
463,SYNCRIP,0.339,0.041
464,PLOD3,0.218,0.244
465,PLIN3,-0.079,0.574
466,KPNA6;KPNA1,0.198,0.616
467,UGDH,0.123,0.498
468,SNX2,-0.488,0.028
469,USO1,0.68,0.131
470,PQBP1,-0.12,0.45
471,DKC1,-0.112,0.59
472,EDF1,-0.226,0.373
473,DNAJA2,-0.091,0.507
474,CUTA,-0.001,0.998
475,WDR1,0.137,0.352
476,CPNE3,0.01,0.934
477,NDUFS2,0.43,0.021
478,PDCD6,-0.009,0.947
479,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.305,0.076
480,H2AFY,-0.256,0.098
481,FLNB,0.625,0.009
482,SEC22B,-0.037,0.785
483,PMPCB,0.057,0.766
484,PSIP1,0.214,0.318
485,ERLIN1;ERLIN2,0.017,0.907
486,SRSF10,0.561,0.01
487,BANF1,-0.231,0.198
488,SF3B1,-0.283,0.14
489,CSDE1,-0.601,0.006
490,NPM3,-0.106,0.628
491,ERAL1,0.311,0.346
492,SNRNP200,-0.236,0.118
493,EIF3J,0.218,0.239
494,IDH1,1.095,0.123
495,BCAS2,0.009,0.973
496,DCTN3,-0.472,0.013
497,DNAJC8,0.685,0.124
498,ATP5H,0.021,0.883
499,ATP5L,0.247,0.187
500,GLRX3,0.391,0.049
501,RSL1D1,0.257,0.23
502,SRP72,-0.785,0.031
503,MTA2,-0.275,0.21
504,TOMM70A,0.05,0.748
505,GLS,-0.161,0.492
506,ZFPL1,-0.299,0.123
507,ZRANB2,-0.498,0.067
508,VAPB,-0.118,0.543
509,SMC2,0.009,0.974
510,IPO7,-0.047,0.776
511,AHSA1,-0.579,0.05
512,NSA2,-0.853,0.008
513,AP2A1,-0.127,0.511
514,BAG2,-0.078,0.557
515,BAG3,-1.169,0.134
516,AIFM1,-1.055,0.001
517,FADS2,-0.663,0.127
518,TXNDC12,0.359,0.144
519,ACTL6A,-0.559,0.098
520,CYB5A,0.063,0.782
521,LDHA,0.071,0.634
522,GLUD1;GLUD2,-0.134,0.334
523,CYB5R3,-0.289,0.125
524,GSR,0.294,0.062
525,MT-CO2,-0.173,0.584
526,SOD1,-0.334,0.098
527,PNP,-0.07,0.773
528,GOT2,0.126,0.378
529,PGK1,-0.047,0.744
530,NRAS,-1.167,0.001
531,LMNA,-0.205,0.268
532,TFRC,0.706,0.023
533,CAT,-0.388,0.102
534,ALDOA,-0.37,0.032
535,ANXA1,-0.05,0.736
536,SOD2,0.049,0.802
537,OAT,0.153,0.293
538,TK1,-0.991,0.002
539,TUBB4A,0.202,0.355
540,GAPDH,-0.086,0.537
541,HSPB1,-0.034,0.88
542,TYMS,-0.371,0.092
543,RPN1,-0.132,0.352
544,RPN2,0.06,0.661
545,GNAI2,-0.425,0.027
546,HIST1H2AC;HIST3H2A;HIST1H2AB,-0.299,0.103
547,ATP1A1;ATP1A3,0.177,0.222
548,ATP1B1,0.355,0.178
549,ALDH2,0.011,0.955
550,SLC25A5,-0.123,0.348
551,EIF2S1,-0.129,0.427
552,RPLP1,0.043,0.843
553,RPLP2,0.151,0.335
554,RPLP0;RPLP0P6,0.244,0.159
555,SSB,-0.0,0.999
556,ITGB1,0.282,0.173
557,KRT18,-0.036,0.803
558,UROD,0.085,0.677
559,ATP5B,-0.103,0.468
560,ENO1,-0.029,0.832
561,PYGL,-0.001,0.992
562,GPI,-0.082,0.525
563,NPM1,-0.09,0.621
564,LDHB,-0.062,0.639
