,Gene Name,log2(Fold change),P-value
446,ALDH2,0.372,0.065
447,SLC25A5,-0.153,0.233
448,EIF2S1,-0.118,0.438
449,RPLP1,-0.093,0.448
450,RPLP2,-0.042,0.767
451,RPLP0;RPLP0P6,0.017,0.883
452,SSB,-0.218,0.14
453,ITGB1,0.06,0.625
454,KRT18,-0.46,0.03
455,CDK1;CDC2,0.056,0.661
456,ATP5B,-0.076,0.537
457,ENO1,-0.125,0.342
458,PYGL,-1.203,0.181
459,GPI,0.479,0.167
460,NPM1,0.027,0.864
461,LDHB,-0.207,0.169
462,P4HB,-0.206,0.147
463,ANXA2;ANXA2P2,-0.236,0.152
464,CAPN1,0.019,0.95
465,TUBB,-0.194,0.155
466,PSAP,-0.503,0.301
467,PFN1,-0.187,0.177
468,EPRS,0.197,0.213
469,CTSB,-1.092,0.004
470,HSP90AA1,-0.036,0.826
471,UQCRH,0.009,0.938
472,FH,0.059,0.71
473,ANXA6,-0.068,0.685
474,RHOC;RHOA,0.195,0.153
475,HSP90AB1,-0.038,0.753
476,ASNS,0.289,0.178
477,PDHA1,0.042,0.739
478,CYC1,-0.021,0.856
479,MFI2,-0.194,0.262
480,MYL3;MYL1,0.169,0.379
481,SNRNP70,-0.29,0.169
482,VIM,0.111,0.408
483,ANXA5,0.076,0.618
484,GSTP1,0.301,0.162
485,SNRPC,0.037,0.852
486,LGALS1,-0.003,0.984
487,HMGB1,0.107,0.538
488,CLTA,-0.176,0.2
489,ANXA4,-0.053,0.804
490,DLD,-0.152,0.443
491,SNRPA1,-0.11,0.646
492,COX6C,1.308,0.001
493,PARP1,-0.115,0.366
494,H2AFV;H2AFZ,-0.117,0.484
495,UQCRFS1;UQCRFS1P1,-0.416,0.203
496,U2AF1,-0.17,0.242
497,CALM2;CALM3;CALM1,-0.424,0.02
498,TUBA3E,0.145,0.472
499,FDX1,-0.459,0.036
500,GAA,-0.419,0.068
501,HIST1H1E;HIST1H1D,-0.297,0.105
502,TXN,-0.163,0.431
503,COX5B,0.761,0.003
504,HSPD1,0.164,0.245
505,HSPA5,0.124,0.319
506,HSPA8,0.042,0.778
507,SLC2A1,0.266,0.248
508,PDHB,-0.051,0.749
509,RALB;RALA,-0.051,0.718
510,LAMP1,-0.442,0.02
511,TOP2A,0.095,0.664
512,G6PD,-0.337,0.17
513,PABPC1,-0.15,0.454
514,PCNA,-0.06,0.705
515,COX6A1,0.385,0.264
516,HARS,0.294,0.249
517,SLC25A4,-0.289,0.344
518,SLC25A6,-0.313,0.045
519,IMPDH2,0.334,0.063
520,TPR,0.018,0.881
521,CKMT1A;CKMT1B,0.181,0.255
522,ACTN1,-0.041,0.77
523,XRCC6,-0.037,0.763
524,XRCC5,-0.105,0.538
525,COX4I1,0.429,0.078
526,RNH1,0.151,0.398
527,EEF2,0.14,0.353
528,PDIA4,0.063,0.768
529,ETFA,-0.217,0.243
530,PRKAR2A,0.531,0.132
531,MTHFD2,0.37,0.065
532,MIF,-0.125,0.378
533,AKR1A1,0.016,0.936
534,PKM,-0.208,0.163
535,HSP90B1,0.035,0.774
536,COX6B1,0.397,0.031
537,HNRNPL,-0.166,0.208
538,DARS,-0.111,0.426
539,AKR1B1,-0.483,0.011
540,EZR,-0.191,0.247
541,RPS2,-0.094,0.452
542,CD44,0.12,0.652
543,HIST1H1C,-0.004,0.983
544,ATP2A2,-0.1,0.585
545,STMN1,-0.039,0.843
546,HSPA6;HSPA7,0.2,0.15
547,HMGA1,0.247,0.261
548,GOT1,0.349,0.061
549,CAPN2,0.282,0.431
550,TCP1,0.158,0.221
551,PTPN1,-0.243,0.115
552,RPL35A,-0.087,0.656
553,RPL7,0.096,0.56
554,VCL,0.837,0.074
555,SON,-0.232,0.166
556,PGAM1,0.016,0.9
557,RCC1,0.324,0.053
558,NCL,0.147,0.346
559,HK1,-0.145,0.38
560,CSNK2A2,-0.366,0.103
561,EIF2S2,0.693,0.011
562,ANXA7,0.025,0.864
563,BTF3,-0.259,0.124
564,RAB6A;RAB6B,-0.11,0.539
565,PSMB1,0.121,0.509
566,M6PR,0.013,0.927
567,COX5A,-0.17,0.326
568,LMNB1,-0.209,0.158
569,ATP6V1B2,-0.424,0.016
570,ATP6V1C1,-2.894,0.038
571,VDAC1,0.159,0.232
572,SDHB,0.064,0.811
573,TGM2,0.2,0.166
574,FBL,0.07,0.656
575,GART,0.163,0.337
576,PAICS,0.244,0.113
577,SCP2,0.128,0.367
578,UBA1,-0.128,0.345
579,FDXR,0.173,0.579
580,HNRNPA2B1,-0.124,0.353
581,UQCRC2,0.194,0.225
582,ITGA6,1.613,0.0
583,SFPQ,0.152,0.26
584,TUBG1;TUBG2,-0.23,0.346
585,PPIB,0.045,0.711
586,RPS3,0.147,0.327
587,AHCY,-0.092,0.486
588,CFL1,-0.2,0.167
589,EEF1B2,-0.043,0.82
590,ATP5F1,-0.262,0.085
591,MCM3,-0.266,0.269
592,RPS12,-0.104,0.495
593,ATP5A1,0.056,0.68
594,PSMA1,0.011,0.929
595,PSMA3,-0.129,0.534
596,PSMA4,-0.291,0.08
597,ITGA3,-0.014,0.926
598,MSN,0.069,0.591
599,DDX6,0.237,0.195
600,RPL13,0.29,0.111
601,HMGB2,-0.349,0.311
602,PTBP1,-0.004,0.973
603,TARS,0.303,0.068
604,VARS,0.212,0.134
605,EEF1G,0.185,0.191
606,STOM,0.655,0.034
607,AK4,0.222,0.221
608,YWHAQ,-0.134,0.31
609,RPL10,0.218,0.148
610,APEX1,0.117,0.355
611,CALR,-0.21,0.13
612,CANX,0.064,0.603
613,PSMA5,-0.539,0.037
614,PSMB4,0.312,0.168
615,PSMB6,2.262,0.157
616,PSMB5,0.428,0.043
617,NDUFS1,0.177,0.233
618,MAPK1,0.028,0.84
619,LAP3,-0.007,0.967
620,TKT,0.054,0.692
621,ERP29,-0.19,0.242
622,PRDX6,0.253,0.157
623,BLVRB,0.066,0.666
624,PRDX5,0.021,0.923
625,PRDX3,0.089,0.557
626,ATP5D,-0.166,0.388
627,RPL12,0.347,0.055
628,ECHS1,0.083,0.656
629,PDIA3,-0.066,0.651
630,PPP2R1A,0.109,0.504
631,PPIF,0.078,0.654
632,ALDH1B1,0.085,0.519
633,SDHA,-0.203,0.166
634,DNAJA1,0.363,0.081
635,UQCRC1,0.229,0.107
636,ATIC,0.14,0.34
637,HNRNPH3,-0.169,0.286
638,YWHAB,-0.085,0.484
639,SFN,-0.085,0.617
640,STIP1,0.252,0.327
641,S100A11,-0.207,0.182
642,PRDX2,-0.238,0.141
643,PYCR1,0.253,0.158
644,RPL9,0.081,0.594
645,CD70,-0.922,0.164
646,KIF5B,0.135,0.41
647,CSTF2,-0.37,0.029
648,MCM5,-0.209,0.325
649,MCM7,-0.482,0.085
650,SHMT2,0.299,0.053
651,HSPA4,0.07,0.636
652,GPC1,0.054,0.812
653,CTNNA1,-0.182,0.398
654,PHB,0.204,0.136
655,RPA3,-0.549,0.037
656,RFC2,-0.272,0.169
657,RPL22,0.068,0.583
658,SPR,-0.583,0.035
659,MYH9,0.017,0.9
660,MYH10,0.97,0.306
661,COPB2,0.195,0.204
662,PSMC2,-0.251,0.08
663,ATP5C1,-0.306,0.268
664,CPOX,0.094,0.551
665,RPL4,0.232,0.168
666,DLST,-0.022,0.877
667,SRP14,-0.153,0.329
668,TAGLN2,0.006,0.959
669,ETFB,-0.451,0.102
670,RBMX;RBMXL1,-0.195,0.495
671,ATP6V1A,-0.478,0.019
672,HSPA9,0.003,0.981
673,EIF4A3,-0.021,0.904
674,RPS19,0.162,0.317
675,RPL3,0.086,0.577
676,FEN1,-0.32,0.091
677,CCT6A,-0.089,0.505
678,RPL13A;RPL13a,0.107,0.47
679,MDH1,-0.134,0.333
680,MDH2,0.03,0.819
681,RFC3,-1.761,0.0
682,EIF2S3;EIF2S3L,0.004,0.976
683,GARS,0.602,0.01
684,IARS,0.265,0.105
685,ECI1;DCI,-0.14,0.274
686,TMPO,0.389,0.287
687,SKIV2L2,-0.003,0.983
688,RPS27;RPS27L,-0.152,0.257
689,LRPPRC,0.233,0.121
690,ACAA2,-0.176,0.37
691,RPL35,0.1,0.545
692,MSH2,-0.452,0.416
693,GPD2,0.078,0.808
694,MAGEA4,-0.262,0.124
695,NAMPT,0.806,0.015
696,PSMC4,-0.294,0.17
697,VDAC2,0.077,0.556
698,CBX5,-0.777,0.007
699,USP5,0.25,0.225
700,RANGAP1,-0.295,0.121
701,RECQL,-0.045,0.724
702,NOP2,0.173,0.225
703,RPL27A,0.088,0.51
704,RPL5,0.256,0.129
705,RPL21,0.237,0.104
706,RPL28,0.089,0.599
707,RPS9,0.173,0.293
708,RPS10,-0.084,0.501
709,YAP1,-0.35,0.098
710,IQGAP1,-0.108,0.461
711,STT3A,0.058,0.635
712,CAPZB,0.77,0.177
713,EIF1AX,0.06,0.619
714,QARS,0.071,0.735
715,ATP5O,0.025,0.866
716,ARCN1,-0.144,0.257
717,LSS,-0.724,0.116
718,PSMD8,0.228,0.459
719,CCT5,-0.075,0.564
720,ALDH9A1,0.408,0.309
721,RPL34,0.334,0.074
722,RPIA,1.023,0.033
723,LMAN1,0.1,0.416
724,NASP,-0.155,0.238
725,FASN,-0.353,0.097
726,CCT3,-0.11,0.426
727,TUFM,0.131,0.305
728,SRP9,-0.029,0.854
729,SARS,0.62,0.014
730,PSMB3,-0.035,0.793
731,PSMB2,0.673,0.186
732,MCM2,-0.554,0.072
733,ACADVL,-0.048,0.748
734,TMED10,-0.108,0.423
735,HINT1,0.048,0.754
736,RANBP2;RGPD5;RGPD3;RGPD8,0.018,0.893
737,SEPHS1,4.009,0.0
738,GMPS,0.679,0.184
739,IDH3A,-0.997,0.127
740,GDI2,-0.07,0.597
741,SERPINH1,-0.059,0.654
742,PDLIM4,-0.39,0.061
743,ST13;ST13P5;ST13P4,0.193,0.642
744,VASP,-0.519,0.087
745,RPL14,0.013,0.928
746,CCT8,-0.533,0.045
747,CCT4,-0.153,0.24
748,ANXA11,0.025,0.882
749,RAB5C,-0.11,0.494
750,RAB7A,-0.206,0.198
751,SSR4,-0.029,0.86
752,BCAP31,0.069,0.755
753,PSMD7,0.235,0.278
754,HDGF,-0.085,0.826
755,HNRNPA3,-0.15,0.285
756,PGD,1.349,0.126
757,HNRNPM,-0.061,0.653
758,KPNA2,-0.203,0.23
759,ARHGDIA,0.075,0.602
760,HNRNPF,-0.087,0.485
761,MSH6,0.025,0.88
762,KIF11,-0.482,0.073
763,HK2,0.455,0.065
764,CAPZA1,0.059,0.733
765,NUP98,0.376,0.13
766,SLC25A1,-0.422,0.044
767,ACLY,0.433,0.041
768,METAP1,-0.124,0.49
769,SUCLG1,-0.543,0.01
770,COPB1,0.071,0.601
771,CTSC,0.047,0.869
772,SUB1,0.076,0.652
773,RARS,-0.205,0.341
774,YARS,-0.268,0.097
775,ATP1B3,-0.165,0.31
776,RAD23B,-0.629,0.011
777,ALDH18A1,0.185,0.22
778,EIF5,-0.19,0.331
779,PSMD4,0.208,0.3
780,CSE1L,0.165,0.218
781,VCP,-0.154,0.244
782,HADHB,-0.014,0.904
783,ADAR,0.072,0.629
784,SEC13,-1.003,0.002
785,HNRNPH2,-0.005,0.97
786,OXCT1,0.1,0.481
787,EIF3B,-0.357,0.174
788,ATP5J2;ATP5J2-PTCD1,-0.053,0.832
789,MARS,0.729,0.007
790,ATP5I,-0.599,0.012
791,EIF6,0.037,0.775
792,CTBP2,-0.074,0.66
793,ARPC4;ARPC4-TTLL3,-0.262,0.091
794,SEC61G,-0.194,0.238
795,TPI1,-0.211,0.133
796,EIF3E,-0.075,0.616
797,SEC61B,0.185,0.324
798,UBE2G2,0.925,0.025
799,ACTB,-0.274,0.085
800,EIF4A1,-0.049,0.763
801,RPS20,-0.069,0.679
802,S100A10,-0.247,0.178
803,CDC42,-0.085,0.526
804,DSTN,0.705,0.003
805,RAB2A,-0.314,0.043
806,RAB10,-0.997,0.02
807,UBE2K,0.505,0.171
808,RAB14,-0.233,0.14
809,ACTR3,-0.167,0.388
810,ACTR2,0.25,0.518
811,ACTR1A,0.128,0.612
812,COPS2,-0.411,0.697
813,RAP1B,-0.139,0.347
814,RPS3A,0.054,0.688
815,RPL26,0.252,0.105
816,RPL15,-0.014,0.929
817,MAGOH,-0.261,0.111
818,RPL27,0.048,0.749
819,RPL37A,0.026,0.829
820,RHOA,-0.083,0.526
821,HSPE1;HSPE1-MOB4,0.075,0.533
822,B2M,-0.871,0.004
823,NUTF2,0.185,0.308
824,HNRNPK,-0.119,0.403
825,YWHAG,0.192,0.52
826,RRAS2,-0.095,0.458
827,RPS7,0.061,0.664
828,PPP1CA,-0.207,0.139
829,PPP1CB,-0.512,0.009
830,PSMC1,1.107,0.285
831,PSMC5,-0.002,0.987
832,RPS8,0.351,0.043
