,Gene Name,log2(Fold change),P-value
730,EIF4A1,-0.408,0.176
731,RPS20,-0.413,0.151
732,S100A10,-0.346,0.341
733,CDC42,-0.323,0.829
734,DSTN,-0.228,0.359
735,RAB2A;RAB2B,0.595,0.341
736,RAB10,-0.328,0.413
737,UBE2K,-0.486,0.132
738,UBE2N,2.185,0.001
739,RAB14,1.071,0.027
740,ACTR3,0.252,0.377
741,ACTR2,1.508,0.002
742,ACTR1A;ACTR1B,0.631,0.046
743,ABCE1,1.877,0.006
744,RPS3A,0.155,0.695
745,RPL15,0.282,0.366
746,RPL27,-0.221,0.423
747,RPL37A,-0.294,0.245
748,RHOA,-0.39,0.242
749,HSPE1,0.503,0.079
750,B2M,-1.705,0.005
751,NUTF2,-0.26,0.478
752,HNRNPK,-0.516,0.12
753,RPS7,0.164,0.675
754,PPP1CA,0.124,0.6
755,PSMC1,1.718,0.051
756,PSMC5,0.91,0.049
757,RPS8,-0.101,0.701
758,RPS16,0.587,0.296
759,YWHAE,0.691,0.053
760,RPS23,0.404,0.54
761,RPS18,-0.288,0.685
762,RPS29,-0.338,0.191
763,RPS13,-0.455,0.24
764,RPS11,0.294,0.363
765,SNRPE,-0.384,0.182
766,SNRPF,0.219,0.603
767,LSM3,0.849,0.041
768,SNRPD1,-0.41,0.39
769,SNRPD2,1.42,0.003
770,SNRPD3,-0.156,0.749
771,TMSB4X,-2.192,0.061
772,PSMC6,0.321,0.282
773,RPL7A,0.507,0.118
774,ETF1,1.557,0.002
775,RPS4X,0.165,0.497
776,PPP2CA;PPP2CB,-0.352,0.245
777,RPS6,1.139,0.008
778,HIST1H4A,-2.023,0.001
779,RPL23,-0.139,0.742
780,RPS25,0.241,0.334
781,RPS26;RPS26P11,0.403,0.16
782,RPS28,1.383,0.03
783,GNB2,-0.234,0.389
784,RPL39;RPL39P5,0.482,0.316
785,RPL31,0.263,0.526
786,RPL10A,0.681,0.102
787,RPL11,0.136,0.693
788,RPL8,-0.586,0.063
789,PPIA,-0.941,0.015
790,FKBP1A,1.259,0.043
791,RPS27A;UBC;UBB,0.515,0.2
