,Gene Name,log2(Fold change),P-value
567,GAA,-1.131,0.002
568,HIST1H1E;HIST1H1D,-0.756,0.002
569,TXN,-0.198,0.272
570,COX5B,0.067,0.588
571,CTSA,0.854,0.006
572,PRKAR1A,-1.551,0.094
573,ESD,0.038,0.723
574,HSPD1,0.399,0.013
575,HSPA5,0.388,0.013
576,HSPA8,0.562,0.005
577,UMPS,0.594,0.134
578,PDHB,-0.146,0.291
579,RALB;RALA,0.132,0.428
580,LAMP1,-0.181,0.133
581,TOP2A,0.248,0.065
582,G6PD,-0.222,0.303
583,ADH5,-0.091,0.493
584,PABPC1;PABPC3,0.154,0.257
585,PCNA,-0.397,0.032
586,HARS,0.264,0.099
587,SLC25A6,0.168,0.287
588,IMPDH2,0.134,0.245
589,TPR,-0.077,0.475
590,CKB,0.143,0.447
591,ANXA3,0.14,0.396
592,CKMT1A;CKMT1B,-0.647,0.01
593,ACTN1,0.468,0.01
594,XRCC6,-0.155,0.17
595,XRCC5,-0.117,0.313
596,RNH1,-0.449,0.023
597,EEF2,0.53,0.004
598,PDIA4,-0.178,0.369
599,LCP1,0.194,0.429
600,ETFA,-0.198,0.187
601,PRKAR2A,0.402,0.087
602,MTHFD2,-0.002,0.988
603,MIF,-0.638,0.002
604,AKR1A1,-0.557,0.018
605,PKM,-0.168,0.171
606,HSP90B1,-0.082,0.463
607,COX6B1,0.087,0.464
608,DARS,-0.228,0.085
609,UQCRB,0.024,0.825
610,AKR1B1,-0.244,0.055
611,GSPT1;GSPT2,0.144,0.299
612,EZR,0.004,0.975
613,RPS2,0.371,0.014
614,RPA2,-0.713,0.012
615,H2AFX;HIST1H2AA,-0.251,0.385
616,CBR1,-0.332,0.024
617,HIST1H1C,-0.811,0.005
618,STMN1,-0.509,0.055
619,HSPA6;HSPA7,0.535,0.003
620,GOT1,-0.175,0.187
621,CAPN2,0.179,0.212
622,PFKL,-0.871,0.053
623,TCP1,0.326,0.02
624,RPL35A,0.014,0.923
625,RPL7,0.34,0.031
626,VCL,0.84,0.021
627,SON,-0.23,0.062
628,PGAM1;PGAM4,0.023,0.839
629,RCC1,-0.171,0.189
630,NCL,0.081,0.567
631,HK1,0.152,0.379
632,SRM,-0.557,0.012
633,CSNK2A2,0.202,0.346
634,EIF2S2,0.369,0.059
635,ANXA7,-0.063,0.546
636,BTF3,-0.084,0.416
637,PSMB1,-0.03,0.785
638,M6PR,0.03,0.858
639,LMNB1,-0.387,0.016
640,ATP6V1B2,-0.367,0.013
641,ACO1,0.232,0.209
642,VDAC1,0.108,0.318
643,SDHB,0.368,0.245
644,TGM2,0.283,0.076
