,Gene Name,log2(Fold change),P-value
783,SEC61G,-0.016,0.898
784,TPI1,-0.248,0.152
785,EIF3E,-0.072,0.582
786,SEC61B,0.074,0.632
787,UBE2G2,0.201,0.241
788,ACTB,-0.202,0.219
789,EIF4A1,-0.011,0.948
790,RPS20,-0.093,0.619
791,S100A10,-0.494,0.018
792,CDC42,0.072,0.614
793,DSTN,0.226,0.62
794,RAB2A,-0.252,0.119
795,RAB10,-0.553,0.119
796,UBE2M,-0.199,0.487
797,UBE2N,0.327,0.111
798,RAB14,-0.414,0.025
799,ACTR3,-0.242,0.205
800,ACTR2,-0.591,0.053
801,ACTR1A,-0.011,0.944
802,ABCE1,-0.187,0.207
803,RAP1B,-0.174,0.256
804,RPS3A,0.063,0.672
805,RPL26;RPL26L1,0.185,0.22
806,RPL27,0.164,0.337
807,RHOA,0.203,0.167
808,HSPE1,0.182,0.179
809,NUTF2,0.604,0.043
810,HNRNPK,-0.041,0.762
811,YWHAG,-0.276,0.225
812,RRAS2,0.054,0.666
813,RPS7,-0.125,0.437
814,PPP1CA,-0.355,0.036
815,PPP1CB,-0.153,0.423
816,PSMC1,-0.476,0.017
817,PSMC5,-0.202,0.316
818,RPS8,0.327,0.062
819,RPS16,0.244,0.145
820,YWHAE,0.022,0.864
821,RPS23,0.19,0.304
822,RPS18,0.234,0.112
823,RPS29,0.089,0.548
824,RPS13,0.221,0.223
825,RPS11,0.347,0.069
826,SNRPE,-0.17,0.537
827,SNRPF,-1.038,0.007
