,Gene Name,log2(Fold change),P-value
347,BUB3,-0.393,0.035
348,KATNAL2,0.005,0.969
349,LONP1,-0.102,0.554
350,PRKCSH,0.207,0.161
351,PARK7,-0.143,0.277
352,EIF1,0.353,0.044
353,PIN1,-0.122,0.608
354,U2AF2,0.211,0.259
355,TBCB,0.082,0.6
356,DNAJC7,-0.375,0.039
357,TXNL1,-0.558,0.279
358,EIF3K,-0.099,0.479
359,AP2S1,-0.415,0.034
360,RPS5,0.294,0.055
361,RPL18A,0.374,0.042
362,AGPS,-0.055,0.719
363,DDX39A,0.518,0.092
364,ACOT7,0.037,0.825
365,HAX1,0.463,0.017
366,AIP,-0.154,0.505
367,AP3B1,-0.239,0.206
368,PSMD11,-0.286,0.101
369,PSMD12,-0.706,0.194
370,PGRMC1,-0.063,0.698
371,SUPT5H,-0.0,0.999
372,DFFA,-0.099,0.609
373,CLIC1,0.167,0.23
374,EIF3F,0.024,0.848
375,IPO5,0.184,0.182
376,SAP18,-0.393,0.027
377,DNM1L,0.101,0.503
378,PSMD14,0.02,0.886
379,KPNA3,-0.324,0.057
380,PODXL,0.05,0.837
381,PPP6C,-0.124,0.441
382,PDXK,-0.245,0.287
383,COPE,0.069,0.641
384,PDCD5,0.341,0.162
385,PRMT5,0.294,0.093
386,SLC9A3R1,-0.137,0.322
387,TCERG1,-0.884,0.012
388,PSMA7,-0.137,0.295
389,SCAMP3,-0.204,0.283
390,MGST3,-0.267,0.366
391,GIPC1,-0.548,0.011
392,HAT1,-0.226,0.222
393,UQCRQ,-0.209,0.439
394,PPP1R12A,-0.115,0.476
395,XPO1,-0.12,0.467
396,PLXNB2,-0.319,0.087
397,U2SURP,-0.332,0.463
398,PFAS,-0.089,0.484
399,NPC1,0.732,0.004
400,ARPC1B,0.08,0.574
401,ARPC3,-0.14,0.455
402,PGRMC2,-0.274,0.109
403,PFDN6,0.543,0.007
404,SURF4,-0.327,0.056
405,PPM1G,0.009,0.953
406,EIF3D,0.24,0.151
407,STX7,0.231,0.221
408,P4HA2,2.612,0.158
409,MAGEB2,-0.128,0.366
410,ARPC5,-0.122,0.491
411,DHX15,-0.027,0.856
412,RNMT,-0.122,0.461
413,PRPF4,-1.353,0.023
414,PSMD3,0.055,0.658
415,PAPSS1,-0.651,0.084
416,ZW10,-0.501,0.019
417,SART1,-0.182,0.185
418,EEF1E1;EEF1E1-BLOC1S5,-0.289,0.302
419,HNRNPR,-0.135,0.354
420,TPD52L2,0.026,0.856
421,PPIH,-0.008,0.945
422,EPB41L2,0.296,0.051
423,LAMTOR5,-0.914,0.001
424,XPOT,-1.02,0.374
425,TIMM44,-0.075,0.689
426,TRAPPC3,-0.205,0.189
427,PLRG1,0.155,0.244
428,ASNA1,-0.067,0.583
429,ACTN4,0.064,0.604
430,SGTA,-0.197,0.365
431,NARS,0.288,0.104
432,NUDT21,-0.623,0.004
433,RRP9,-0.17,0.247
434,CALU,-0.769,0.029
435,AHCYL1;AHCYL2,0.116,0.442
436,RAD21,-0.062,0.761
437,TIMM8A,-0.057,0.807
438,PRPSAP2,-0.268,0.447
439,SMARCA5,-0.362,0.095
440,SPAG9,-0.054,0.724
441,KDM1A,-0.803,0.021
442,SNX3,-0.417,0.257
443,SYNCRIP,0.169,0.23
444,PLOD3,0.223,0.191
445,PLIN3,-0.095,0.484
446,KPNA6;KPNA1,-0.266,0.121
447,UGDH,-0.39,0.06
448,SNX2,-0.296,0.072
449,USO1,-0.066,0.626
450,PQBP1,0.292,0.066
451,DKC1,-0.153,0.24
452,EDF1,-0.18,0.239
453,DNAJA2,0.012,0.921
454,CUTA,0.228,0.278
455,WDR1,0.084,0.523
456,CPNE3,-0.001,0.997
457,NDUFS2,0.428,0.028
458,PDCD6,-0.104,0.417
459,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.418,0.021
460,H2AFY,-0.201,0.179
461,FLNB,0.52,0.014
462,SEC22B,-0.006,0.969
463,VPS26A,-0.401,0.052
464,PMPCB,0.077,0.643
465,PSIP1,-0.099,0.697
466,SRSF10,0.211,0.142
467,BANF1,-0.367,0.031
468,SF3B1,-0.271,0.063
469,CSDE1,-0.457,0.015
470,PRKRA,-0.386,0.039
471,NPM3,0.203,0.3
472,ERAL1,1.231,0.004
473,SNRNP200,-0.232,0.136
474,UTP20,-0.358,0.406
475,EIF3J,-0.273,0.102
476,CBR3,-0.156,0.621
477,ZMPSTE24,-0.13,0.453
478,IDH1,-0.431,0.111
479,BCAS2,-0.108,0.425
480,DCTN3,-0.315,0.055
481,DNAJC8,-0.207,0.25
482,ATP5H,0.041,0.75
483,ATP5L,0.172,0.328
484,GLRX3,0.187,0.229
485,RSL1D1,0.146,0.365
486,CIAO1,-0.134,0.564
487,SRP72,-0.758,0.01
488,MTA2,-0.434,0.038
489,TOMM70A,0.23,0.175
490,GLS,-0.374,0.266
491,ZFPL1,-0.452,0.051
492,NDUFB4,0.627,0.007
493,VAPB,-0.246,0.22
494,PAPSS2,-0.742,0.079
495,SMC2,-0.299,0.215
496,LYPLA2,-0.173,0.439
497,IPO7,0.14,0.425
498,AHSA1,-0.261,0.161
499,NSA2,-0.352,0.121
500,ETHE1,0.11,0.645
501,AP2A1,-0.205,0.179
502,BAG2,0.011,0.955
503,AIFM1,-1.042,0.001
504,TXNDC12,-0.002,0.992
505,NDUFB10,0.076,0.593
506,ACTL6A,-0.979,0.009
507,CYB5A,-0.535,0.046
508,LDHA,0.091,0.476
509,GLUD1,-0.193,0.228
510,CYB5R3,-0.175,0.316
511,GSR,-0.073,0.736
512,MT-CO2,-0.31,0.461
513,SOD1,-0.119,0.554
514,PNP,0.278,0.281
515,HPRT1,-0.046,0.802
516,GOT2,0.198,0.156
517,PGK1,0.054,0.66
518,NRAS,-0.62,0.085
519,LMNA,-0.34,0.041
520,TFRC,0.535,0.059
521,CAT,-0.702,0.02
522,GBA,-0.84,0.005
523,ALDOA,-0.142,0.275
524,ANXA1,0.13,0.354
525,SOD2,-0.592,0.075
526,OAT,0.112,0.496
527,TK1,-0.801,0.002
528,TUBB4A,0.34,0.068
529,GAPDH,-0.008,0.949
530,HSPB1,-0.558,0.037
531,TYMS,-0.481,0.069
532,RPN1,-0.125,0.331
533,RPN2,-0.028,0.822
534,GNAI2,-0.486,0.011
535,ATP1A1,0.097,0.435
536,ATP1B1,-0.028,0.901
537,ALDH2,0.633,0.011
538,SLC25A5,-0.126,0.319
539,EIF2S1,-0.023,0.876
540,RPLP1,0.056,0.648
541,RPLP2,0.176,0.234
542,RPLP0;RPLP0P6,0.218,0.134
543,SSB,-0.178,0.341
544,ITGB1,0.056,0.721
545,KRT18,-0.192,0.325
546,UROD,-0.007,0.951
547,CDK1;CDC2,-0.342,0.217
548,ATP5B,-0.07,0.611
549,ENO1,0.046,0.723
550,PYGL,-0.098,0.537
551,GPI,0.027,0.824
552,NPM1,0.176,0.301
553,LDHB,0.034,0.784
554,P4HB,-0.062,0.614
555,ANXA2;ANXA2P2,-0.259,0.155
556,CAPN1,-0.129,0.621
557,TUBB,-0.003,0.976
558,PSAP,-0.564,0.058
559,PFN1,-0.039,0.795
560,APRT,0.032,0.892
561,EPRS,0.487,0.027
562,CTSB,-1.185,0.003
563,HSP90AA1,-0.183,0.272
564,UQCRH;UQCRHL,0.022,0.871
565,FH,-0.083,0.562
566,ANXA6,-0.082,0.616
567,HSP90AB1,-0.204,0.152
568,ASNS,0.478,0.151
569,PDHA1,-0.034,0.778
570,CYC1,-0.069,0.571
571,MYL3;MYL1,-0.149,0.439
572,SNRNP70,-0.596,0.017
573,VIM,0.337,0.045
574,GNAI3,-0.49,0.008
575,ANXA5,0.062,0.615
576,ENO2,0.105,0.737
577,GSTP1,0.034,0.84
578,SNRPC,-0.002,0.991
579,LGALS1,-0.158,0.416
580,QDPR,0.068,0.585
581,HMGB1,-0.009,0.937
582,RBP1,-1.166,0.005
583,CLTA,-0.081,0.533
584,ANXA4,-0.144,0.502
585,DLD,-0.055,0.69
586,SNRPA1,-0.139,0.416
587,COX6C,1.314,0.0
588,PARP1,-0.068,0.573
589,LTA4H,0.011,0.933
590,H2AFV;H2AFZ,-0.121,0.483
591,HSPA1A;HSPA1B,-0.593,0.034
592,U2AF1,-0.245,0.094
593,CALM2;CALM3;CALM1,-0.195,0.172
594,TUBA3E,-0.136,0.448
595,GAA,-0.557,0.022
596,HIST1H1E;HIST1H1D,-0.488,0.025
597,DLAT,0.152,0.242
598,TXN,-0.105,0.615
599,COX5B,0.295,0.083
600,CTSA,0.288,0.53
601,ESD,0.469,0.037
602,HSPD1,0.142,0.302
603,HSPA5,0.308,0.098
604,HSPA8,-0.342,0.065
605,SLC2A3;SLC2A14,-0.212,0.266
606,PDHB,0.002,0.991
607,RALA;RALB,0.014,0.915
608,LAMP1,-0.228,0.209
609,TOP2A,-0.198,0.426
610,G6PD,-0.563,0.038
611,PRPS2,-0.032,0.832
612,PABPC1,-0.199,0.226
613,PCNA,-0.283,0.122
614,HARS,0.252,0.214
615,SLC25A4,-0.14,0.606
616,SLC25A6,-0.148,0.322
617,IMPDH2,0.028,0.839
618,TPR,-0.143,0.28
619,CKB,0.29,0.112
620,ANXA3,-0.008,0.962
621,CKMT1A;CKMT1B,-0.336,0.148
622,ACTN1,0.184,0.258
623,XRCC6,-0.053,0.665
624,XRCC5,-0.116,0.401
625,COX4I1,0.589,0.012
626,RNH1,0.032,0.83
627,EEF2,0.156,0.272
628,PDIA4,-0.11,0.62
629,PLS3,0.139,0.299
630,ETFA,-0.114,0.364
631,PRKAR2A,0.215,0.301
632,MTHFD2,0.398,0.119
633,MIF,-0.209,0.141
634,FDPS,-0.263,0.262
635,AKR1A1,-0.164,0.438
636,PKM,-0.141,0.295
637,HSP90B1,0.019,0.911
638,COX6B1,0.362,0.037
639,HNRNPL,-0.122,0.38
640,DARS,-0.143,0.314
641,UQCRB,-0.206,0.144
642,AKR1B1,-0.006,0.967
643,GSPT1,0.19,0.204
644,EZR,-0.185,0.26
645,NME1,0.144,0.266
646,GNS,-0.358,0.06
647,RPS2,0.012,0.921
648,CD44,0.283,0.223
649,CBR1,0.019,0.88
650,HIST1H1C,-0.259,0.343
651,ATP2A2,-0.099,0.522
652,STMN1,-0.216,0.287
653,YBX3,-0.076,0.693
654,HSPA6;HSPA7,0.475,0.298
655,HMGA1,1.179,0.006
656,GOT1,0.117,0.38
657,ITGA2,-1.143,0.057
658,CAPN2,0.223,0.286
659,PTPN2,0.115,0.807
660,PFKL,-0.6,0.007
661,TCP1,0.056,0.663
662,PTPN1,-0.098,0.517
663,RPL35A,0.045,0.773
664,RPL7,0.299,0.078
665,VCL,0.132,0.608
666,SON,-0.538,0.018
667,PGAM1,0.072,0.576
668,RCC1,0.104,0.432
669,NCL,0.066,0.666
670,HK1,0.082,0.615
671,EIF2AK2,-0.406,0.065
672,SRM,-0.246,0.131
673,CSNK2A2,-0.054,0.681
674,EIF2S2,0.742,0.005
675,ANXA7,-0.015,0.907
676,BTF3,0.093,0.492
677,PSMB1,0.212,0.14
678,M6PR,-0.011,0.93
679,COX5A,-0.115,0.354
680,LMNB1,-0.509,0.011
681,ATP6V1B2,-0.46,0.052
682,ATP6V1C1,-0.491,0.061
683,ACO1,0.115,0.65
684,VDAC1,0.238,0.099
685,SDHB,-0.189,0.496
686,TGM2,0.32,0.077
687,FBL,0.119,0.388
688,GART,0.113,0.383
689,PAICS,0.274,0.094
690,SCP2,-0.251,0.077
691,UBA1,-0.249,0.094
692,FDXR,-0.116,0.682
693,HNRNPA2B1,-0.013,0.919
694,UQCRC2,0.218,0.278
695,ITGA6,1.567,0.0
696,SFPQ,-0.208,0.163
697,TUBG1;TUBG2,-0.003,0.988
698,PPIB,0.086,0.489
699,ME2,-0.136,0.307
700,WARS,0.126,0.332
701,RPS3,0.238,0.121
702,AHCY,0.037,0.781
703,CFL1,0.011,0.942
704,DTYMK,-0.212,0.123
705,RRM1,0.092,0.654
706,EEF1B2,0.138,0.522
707,ATP5F1,-0.186,0.17
708,ACAT1,0.038,0.806
709,MCM3,-0.51,0.014
710,RPS12,0.08,0.631
711,DNAJB1,0.077,0.646
712,ATP5A1,0.023,0.852
713,PSMA1,0.157,0.225
714,PSMA3,-0.144,0.404
715,ITGA3,0.376,0.054
716,MSN,0.228,0.112
717,DDX6,-0.04,0.794
718,RPL13,0.361,0.037
719,HMGB2,0.068,0.592
720,PTBP1,-0.061,0.646
721,TARS,0.275,0.09
722,VARS,0.362,0.032
723,EEF1G,0.215,0.116
724,STOM,0.378,0.099
725,AK4,0.233,0.176
726,YWHAQ,0.081,0.527
727,RPL10,0.437,0.026
728,RPA1,0.069,0.706
729,APEX1,0.07,0.621
730,CALR,-0.316,0.049
731,CANX,0.09,0.486
732,PSMA5,-0.471,0.043
733,PSMB4,0.109,0.417
734,PSMB6,0.273,0.077
735,PSMB5,0.415,0.03
736,NDUFS1,0.312,0.132
737,MAPK1,-0.077,0.604
738,LAP3,-0.065,0.699
739,EPHA2,-0.498,0.032
740,TKT,-0.068,0.617
741,ERP29,-0.177,0.27
742,PRDX6,0.078,0.577
743,BLVRB,0.084,0.553
744,PRDX5,-0.202,0.257
745,PRDX3,0.031,0.832
746,ATP5D,-0.207,0.303
747,RPL12,0.387,0.04
748,ECHS1,-0.035,0.84
749,PEBP1,0.071,0.558
750,PDIA3,-0.094,0.516
751,PPP2R1A,-0.194,0.176
752,PPP2R1B,-0.146,0.433
753,PPIF,0.308,0.116
754,NMT1,-0.018,0.896
755,ALDH1B1,-0.104,0.403
756,SDHA,-0.372,0.034
757,MAT2A,-0.385,0.026
758,RRM2,-0.54,0.049
759,DNAJA1,0.032,0.868
760,UQCRC1,0.285,0.161
761,ATIC,0.031,0.797
762,HNRNPH3,-0.172,0.228
763,YWHAB,0.032,0.795
764,SFN,-0.184,0.276
765,STIP1,-0.083,0.543
766,S100A11,0.036,0.763
767,PRDX2,-0.572,0.005
768,PYCR1,0.254,0.188
769,RPL9,0.217,0.211
770,CD70,-1.065,0.099
771,KIF5B,-0.005,0.975
772,CKS2,-0.205,0.522
773,MCM5,-0.332,0.138
774,MCM7,-0.525,0.025
775,SHMT2,0.392,0.027
776,HSPA4,0.018,0.879
777,GPC1,0.174,0.431
778,CTNNA1,0.371,0.116
779,PHB,0.239,0.111
780,RPA3,-0.148,0.363
781,RFC4,-0.434,0.014
782,RFC2,0.22,0.547
783,RPL22,0.311,0.066
784,SPR,-0.349,0.028
785,MYH9,0.021,0.869
786,MYH10,0.038,0.824
787,COPB2,-0.113,0.574
788,FUS,-0.078,0.698
789,PSMC2,-0.176,0.19
790,ARL2;ARL2-SNX15,-0.254,0.237
791,ARL3,-0.607,0.024
792,ATP5C1,-0.162,0.433
793,ATP6V1E1,-1.474,0.176
794,CPOX,-0.147,0.347
795,RPL4,0.304,0.06
796,GNL1,-0.171,0.73
797,DLST,-0.05,0.727
798,SRP14,-0.088,0.474
799,TAGLN2,-0.047,0.727
800,TALDO1,-0.132,0.401
801,ETFB,-0.3,0.202
802,RBMX;RBMXL1,-0.288,0.295
803,ATP6V1A,-0.471,0.012
804,HSPA9,0.01,0.937
805,EIF4A3,-0.068,0.712
806,RPS19,0.187,0.202
807,RPL3,0.185,0.217
808,FEN1,-0.147,0.411
809,CCT6A,-0.007,0.954
810,NNMT,-0.062,0.642
811,RPL13A;RPL13a,0.215,0.211
812,MDH1,-0.088,0.501
813,MDH2,0.03,0.81
814,EIF2S3;EIF2S3L,0.072,0.621
815,NAA10,0.922,0.197
816,GARS,0.803,0.003
817,IARS,0.286,0.076
818,ECI1;DCI,-0.381,0.039
819,TMPO,0.092,0.764
820,SKIV2L2,-0.13,0.394
821,RPS27,-0.339,0.04
822,LRPPRC,0.148,0.296
823,ACAA2,-0.753,0.006
824,RPL35,0.331,0.116
825,PRCP,-0.521,0.025
826,MSH2,-1.021,0.074
827,GPD2,-0.539,0.042
828,MAGEA4,-0.174,0.216
