,Gene Name,log2(Fold change),P-value
628,ATP6V1A,-0.528,0.021
629,HSPA9,0.176,0.205
630,EIF4A3,-0.04,0.806
631,RPS19,0.05,0.704
632,RPL3,0.032,0.806
633,FEN1,-0.269,0.096
634,CCT6A,-0.102,0.444
635,RPL13A;RPL13a,0.102,0.454
636,MDH1,0.036,0.859
637,MDH2,-0.068,0.652
638,EIF2S3;EIF2S3L,0.133,0.343
639,BUD31,-0.282,0.104
640,GARS,0.63,0.009
641,ECI1;DCI,-0.274,0.13
642,TMPO,0.375,0.147
643,SKIV2L2,0.077,0.645
644,LRPPRC,0.309,0.085
645,ACAA2,-0.471,0.043
646,RPL35,0.165,0.263
647,MSH2,-0.415,0.442
648,GPD2,0.048,0.827
649,MAGEA4,-0.332,0.055
650,PSMC4,-0.174,0.355
651,VDAC2,0.13,0.337
652,RANGAP1,-0.249,0.158
653,RECQL,-0.154,0.282
654,NOP2,0.129,0.562
655,RPL27A,0.155,0.252
656,RPL5,0.128,0.416
657,RPL21,0.13,0.407
658,RPS9,0.194,0.278
659,RPS10,0.034,0.789
660,IQGAP1,-0.326,0.046
661,STT3A,0.054,0.669
662,CAPZB,-0.064,0.697
663,QARS,-0.245,0.173
664,ATP5O,0.031,0.834
665,ARCN1,0.051,0.785
666,LSS,-0.599,0.187
667,PSMD8,-0.323,0.314
668,CCT5,-0.009,0.955
669,ALDH9A1,0.185,0.551
670,RPL34,0.205,0.163
671,LMAN1,0.349,0.251
672,NASP,-0.279,0.072
673,FASN,-0.087,0.714
674,CCT3,-0.089,0.527
675,TUFM,0.069,0.617
676,SRP9;DKFZp564M2223,-0.267,0.079
677,SARS,0.437,0.038
678,PSMB2,-0.013,0.933
679,MCM2,-0.752,0.031
680,ACADVL,-0.232,0.143
681,TMED10,-0.116,0.436
682,HINT1,0.182,0.262
683,RANBP2,-0.054,0.789
684,SEPHS1,2.572,0.0
685,GDI2,-0.01,0.942
686,SERPINH1,-0.052,0.773
687,PDLIM4,-0.417,0.064
688,ST13;ST13P4;ST13P5,0.266,0.379
689,VASP,-0.689,0.018
690,RPL14,0.114,0.458
691,CCT8,-0.524,0.103
692,CCT4,-0.124,0.358
693,ANXA11,-0.093,0.625
694,RAB5C,-0.379,0.08
695,RAB7A,-0.228,0.165
696,RAB13,-0.259,0.313
697,SSR4,0.109,0.499
698,BCAP31,0.177,0.252
699,PSMD7,0.621,0.16
700,HDGF,-0.69,0.116
701,HNRNPA3,-0.013,0.926
702,HNRNPM,-0.084,0.547
703,KPNA2,-0.093,0.617
704,ARHGDIA,1.15,0.223
705,HNRNPF,-0.053,0.704
706,MSH6,0.079,0.747
707,CAPZA1,-0.063,0.712
708,BLVRA,-0.291,0.173
709,SLC25A1,-0.548,0.021
710,ACLY,0.496,0.017
711,METAP1,0.132,0.577
712,SUCLG1,-0.023,0.861
713,COPB1,0.96,0.228
714,CTSC,-0.442,0.023
715,SUB1,0.037,0.78
716,RARS,0.305,0.281
717,YARS,0.276,0.222
718,ATP1B3,-0.19,0.257
719,RAD23B,-0.495,0.023
720,ALDH18A1,0.387,0.037
721,EIF5,-0.029,0.858
722,PSMD4,0.158,0.453
723,CSE1L,0.012,0.928
724,VCP,-0.139,0.295
725,HADHB,-0.104,0.45
726,ADAR,-0.021,0.887
727,SEC13,-1.232,0.001
728,HNRNPH2,-0.148,0.399
729,OXCT1,-0.059,0.749
730,EIF3B,-0.166,0.474
731,MARS,1.051,0.004
732,ATP5I,-0.32,0.075
733,EIF6,0.089,0.547
734,CTBP2,-0.255,0.256
735,ARPC4;ARPC4-TTLL3,1.271,0.16
736,SEC61G,-0.027,0.832
737,TPI1,-0.252,0.093
738,EIF3E,0.214,0.137
739,SEC61B,0.305,0.256
740,UBE2G2,0.946,0.032
741,ACTB,-0.136,0.359
742,EIF4A1,0.117,0.559
743,RPS20,-0.046,0.782
744,S100A10,-0.28,0.12
745,CDC42,-0.356,0.047
746,DSTN,0.391,0.194
747,RAB8A,1.014,0.171
748,RAB2A,-0.496,0.017
749,RAB10,-0.757,0.074
750,RAB14,-0.234,0.279
751,ACTR3,-0.393,0.07
752,ACTR2,-0.393,0.166
753,ACTR1A;ACTR1B,0.193,0.71
754,RAP1B,-0.208,0.193
755,RPS3A,0.062,0.702
756,RPL26,0.341,0.106
757,RPL15,0.353,0.042
758,MAGOH,-0.159,0.344
759,RPL27,0.142,0.339
760,RPL37A,-0.069,0.587
761,RHOA,-0.043,0.803
762,HSPE1;HSPE1-MOB4,0.055,0.701
763,B2M,-0.955,0.003
764,NUTF2,-0.69,0.214
765,HNRNPK,-0.201,0.217
766,YWHAG,-0.069,0.78
767,RRAS2,0.396,0.372
768,RPS7,0.114,0.439
769,PPP1CA,-0.233,0.128
770,PPP1CB,-0.337,0.061
771,PSMC5,0.036,0.789
772,RPS8,0.386,0.041
773,RPS15A,0.27,0.082
774,RPS16,0.264,0.139
775,YWHAE,-0.127,0.44
776,RPS23,0.058,0.728
777,RPS18,0.155,0.251
778,RPS29,0.091,0.474
