,Gene Name,log2(Fold change),P-value
601,PABPC1,0.021,0.85
602,PCNA,-0.181,0.204
603,COX6A1,-0.169,0.16
604,HARS,0.431,0.037
605,SLC25A6,0.326,0.095
606,IMPDH2,0.32,0.028
607,TPR,0.015,0.906
608,CKB,0.27,0.123
609,ANXA3,0.316,0.096
610,CKMT1A;CKMT1B,-0.488,0.017
611,ACTN1,0.422,0.06
612,XRCC6,-0.136,0.186
613,XRCC5,-0.065,0.607
614,RNH1,-0.317,0.054
615,EEF2,0.349,0.018
616,PDIA4,-0.468,0.036
617,LCP1,-0.32,0.382
618,ETFA,-0.416,0.009
619,PRKAR2A,0.264,0.187
620,MTHFD2,0.067,0.665
621,MIF,-0.43,0.012
622,FDPS,-0.39,0.125
623,AKR1A1,-0.588,0.03
624,PKM,-0.195,0.1
625,HSP90B1,-0.069,0.473
626,COX6B1,0.063,0.49
627,DARS,-0.145,0.286
628,UQCRB,0.045,0.613
629,AKR1B1,-0.158,0.222
630,GSPT1;GSPT2,0.209,0.091
631,EZR,-0.013,0.922
632,RPS2,0.149,0.156
633,RPA2,-0.224,0.254
634,H2AFX;HIST1H2AA,-0.106,0.571
635,CBR1,-0.331,0.019
636,HIST1H1C,-0.519,0.022
637,STMN1,-0.08,0.575
638,HSPA6;HSPA7,0.618,0.002
639,HMGA1,-0.206,0.613
640,GOT1,-0.115,0.307
641,CAPN2,-0.016,0.916
642,PFKL,-1.51,0.037
643,TCP1,0.39,0.009
644,PTPN1,-0.157,0.193
645,RPL35A,0.081,0.513
646,RPL7,0.278,0.044
647,VCL,0.57,0.083
648,SON,-0.333,0.049
649,PGAM1;PGAM4,0.034,0.769
650,NCL,0.101,0.464
651,HK1,-0.294,0.078
652,EIF2AK2,-0.593,0.012
653,SRM,-0.642,0.002
654,CSNK2A2,-0.194,0.354
655,EIF2S2,0.161,0.452
656,ANXA7,-0.119,0.272
657,BTF3,-0.009,0.92
658,PSMB1,0.096,0.317
659,M6PR,0.152,0.742
660,COX5A,-0.033,0.707
661,LMNB1,-0.171,0.13
662,ATP6V1B2,-0.619,0.002
663,ACO1,0.169,0.301
664,VDAC1,0.16,0.142
665,SDHB,-0.047,0.871
666,TGM2,0.388,0.016
667,GART,0.049,0.586
668,PAICS,0.268,0.046
669,SCP2,-0.761,0.001
670,UBA1,-0.377,0.015
671,FDXR,0.096,0.767
672,HNRNPA2B1,0.097,0.374
673,UQCRC2,0.166,0.205
674,ITGA6,1.019,0.147
675,SFPQ,0.441,0.005
676,TUBG1;TUBG2,0.112,0.779
677,PPIB,-0.312,0.018
678,WARS,-0.255,0.16
679,RPS3,0.384,0.018
680,AHCY,0.1,0.353
681,CFL1,-0.177,0.124
682,DTYMK,0.072,0.592
683,RRM1,0.604,0.035
684,EEF1B2,0.145,0.441
685,ATP5F1,-0.104,0.427
686,MCM3,-0.19,0.177
687,RPS12,0.214,0.145
688,DNAJB1,-0.091,0.377
689,ATP5A1,0.064,0.513
690,PSMA1,0.146,0.15
691,PSMA3,0.11,0.276
692,ITGA3,-0.006,0.963
693,MSN,-0.026,0.763
694,DDX6,-0.021,0.876
695,RPL13,0.324,0.017
696,HMGB2,0.053,0.572
697,PTBP1,0.108,0.32
698,TARS,0.092,0.335
699,EEF1G,0.515,0.003
700,AK4,-0.407,0.042
701,YWHAQ,-0.058,0.561
702,RPL10,0.353,0.028
703,RPA1,0.099,0.789
704,CALR,-0.476,0.004
705,CANX,-0.468,0.07
706,PSMB8;PSM8,-0.615,0.015
707,PSMA5,0.005,0.977
708,PSMB4,0.099,0.405
709,PSMB6,0.248,0.043
710,PSMB5,0.345,0.02
711,NDUFS1,-0.003,0.976
712,MAPK1,-0.487,0.023
713,LAP3,-0.241,0.189
714,IMPA1,-0.07,0.738
715,TKT,0.362,0.018
716,ERP29,-0.624,0.005
717,PRDX6,-0.056,0.618
718,BLVRB,-0.558,0.009
719,PRDX5,-0.639,0.013
720,PRDX3,0.078,0.536
721,ATP5D,-0.161,0.357
722,RPL12,0.33,0.022
723,ECHS1,-0.261,0.219
724,CMPK1,0.176,0.319
725,PEBP1,-0.151,0.167
726,PDIA3,-0.266,0.03
727,PPP2R1A,-0.188,0.105
728,PPP2R1B,0.421,0.038
729,PPIF,0.44,0.018
730,NMT1,-0.181,0.091
