,Gene Name,log2(Fold change),P-value
638,PPP2R1A,-0.408,0.075
639,PPIF,0.34,0.089
640,ALDH1B1,0.035,0.81
641,SDHA,-0.352,0.046
642,MAT2A,-0.008,0.96
643,DNAJA1,0.176,0.406
644,UQCRC1,0.099,0.558
645,ATIC,0.041,0.797
646,HNRNPH3,-0.149,0.392
647,YWHAB,0.301,0.095
648,SFN,0.16,0.44
649,STIP1,0.082,0.631
650,S100A11,-0.225,0.177
651,PYCR1,0.177,0.31
652,RPL9,0.462,0.045
653,KIF5B,0.303,0.118
654,CKS2,-0.221,0.411
655,MCM7,-1.045,0.002
656,SHMT2,0.312,0.105
657,HSPA4,0.088,0.53
658,GPC1,0.054,0.832
659,CTNNA1,-0.005,0.984
660,PHB,0.334,0.054
661,RPA3,-0.43,0.052
662,RFC2,-0.451,0.019
663,RPL22,0.221,0.439
664,SPR,-0.191,0.303
665,MYH9,0.044,0.778
666,MYH10,0.35,0.068
667,ARL2;ARL2-SNX15,-1.392,0.002
668,ATP5C1,-0.131,0.541
669,ATP6V1E1,-1.001,0.001
670,CPOX,-0.091,0.612
671,RPL4,0.907,0.012
672,DLST,-0.147,0.352
673,SRP14,0.187,0.285
674,TAGLN2,0.116,0.459
675,ETFB,-0.449,0.086
676,RBMX,-0.082,0.638
677,ATP6V1A,-0.447,0.021
678,HSPA9,0.017,0.899
679,EIF4A3,-0.38,0.065
680,RPS19,0.251,0.126
681,RPL3,0.567,0.013
682,FEN1,-0.131,0.649
683,CCT6A,-0.028,0.873
684,RPL13A;RPL13a,0.714,0.01
685,MDH1,-0.41,0.031
686,MDH2,0.006,0.965
687,RFC5,-0.715,0.16
688,RFC3,0.117,0.405
689,EIF2S3;EIF2S3L,-0.085,0.535
690,GARS,0.41,0.039
691,ECI1;DCI,-0.494,0.074
692,TMPO,0.151,0.593
693,SKIV2L2,-0.089,0.565
694,RPS27,-0.115,0.41
695,LRPPRC,0.081,0.595
696,ACAA2,-0.459,0.132
697,RPL35,0.624,0.01
698,GPD2,-0.338,0.16
699,MAGEA4,-0.392,0.038
700,PSMC4,-0.039,0.823
701,TSFM,0.283,0.142
702,VDAC2,0.176,0.242
703,CBX5,-0.691,0.004
704,USP5,0.088,0.609
705,RANGAP1,-0.447,0.062
706,RECQL,0.78,0.049
707,NOP2,0.254,0.117
708,RPL27A,0.73,0.028
709,RPL21,0.486,0.02
710,RPS9,0.515,0.017
711,RPS10;RPS10-NUDT3,0.139,0.335
712,YAP1,-0.551,0.167
713,IQGAP1,-0.247,0.106
714,STT3A,0.05,0.709
715,CAPZA2,0.141,0.617
716,CAPZB,-0.209,0.165
717,EIF1AX,0.28,0.244
718,QARS,0.03,0.873
719,UQCRFS1;UQCRFS1P1,-0.047,0.837
720,ATP5O,0.082,0.59
721,ARCN1,0.648,0.103
722,LSS,0.097,0.849
723,PSMD8,0.651,0.185
724,CCT5,0.137,0.45
725,ALDH9A1,-0.023,0.889
726,RPL34,0.726,0.011
727,LMAN1,-0.083,0.573
728,NASP,-0.226,0.204
729,FASN,-0.394,0.053
730,CCT3,-0.028,0.873
731,TUFM,-0.011,0.933
732,SRP9;DKFZp564M2223,0.035,0.792
733,AARS,-0.244,0.218
734,SARS,0.293,0.115
735,PSMB2,0.723,0.003
736,MCM2,-1.043,0.003
737,ACADVL,-0.26,0.125
738,TMED10,-0.21,0.163
739,HINT1,0.129,0.528
740,RANBP2,0.132,0.422
741,IDH3A,-0.84,0.16
742,GDI2,-0.057,0.679
743,SERPINH1,-0.394,0.038
744,PDLIM4,-0.942,0.005
745,ST13;ST13P5;ST13P4,-0.146,0.331
746,VASP,-0.592,0.025
747,CCT8,-0.3,0.106
748,CCT4,-0.023,0.888
749,ANXA11,-0.008,0.963
750,RAB5C,-0.089,0.566
751,RAB7A,-0.177,0.261
752,RAB13,-0.366,0.033
753,SSR4,-0.379,0.043
754,BCAP31,-0.195,0.182
755,PSMD7,0.438,0.037
756,HDGF,-0.541,0.162
