,Gene Name,log2(Fold change),P-value
608,GAA,-0.813,0.007
609,HIST1H1E;HIST1H1D,-0.644,0.003
610,TXN,0.112,0.468
611,COX5B,-0.34,0.029
612,CTSA,0.833,0.007
613,PRKAR1A,-1.826,0.075
614,ESD,0.042,0.793
615,HSPD1,0.507,0.005
616,HSPA5,0.196,0.07
617,HSPA8,0.492,0.01
618,SLC2A1,0.235,0.311
619,SLC2A3;SLC2A14,-1.533,0.001
620,UMPS,0.52,0.006
621,PDHB,-0.083,0.537
622,RALB;RALA,0.002,0.983
623,LAMP1,-0.45,0.008
624,TOP2A,0.503,0.005
625,G6PD,-0.473,0.066
626,IGF2R,-0.978,0.003
627,ADH5,-0.048,0.824
628,PRPS2,0.355,0.027
629,PABPC1,0.207,0.148
630,PCNA,-0.288,0.078
631,COX6A1,-0.526,0.004
632,HARS,0.373,0.025
633,SLC25A6,0.1,0.41
634,IMPDH2,0.19,0.095
635,TPR,-0.134,0.304
636,CKB,-0.017,0.847
637,ANXA3,0.29,0.108
638,CKMT1A;CKMT1B,-0.699,0.005
639,ACTN1,0.805,0.009
640,XRCC6,-0.101,0.326
641,XRCC5,-0.094,0.392
642,COX4I1,-0.043,0.82
643,RNH1,-0.374,0.027
644,EEF2,0.459,0.007
645,PDIA4,-0.432,0.102
646,LCP1,0.126,0.716
647,PLS3,-0.242,0.04
648,ETFA,-0.438,0.032
649,PRKAR2A,0.404,0.073
650,MTHFD2,0.274,0.074
651,MIF,-0.689,0.001
652,FDPS,-0.586,0.049
653,AKR1A1,-0.82,0.007
654,PKM,-0.195,0.101
655,HSP90B1,-0.225,0.053
656,COX6B1,-0.036,0.681
657,HNRNPL,-0.138,0.171
658,DARS,-0.32,0.031
659,UQCRB,-0.264,0.04
660,AKR1B1,-0.257,0.045
661,GSPT1,0.065,0.527
662,NME1,0.35,0.013
663,RPS2,0.359,0.011
664,RPA2,-0.382,0.079
665,H2AFX;HIST1H2AA,-0.32,0.121
666,CBR1,-0.354,0.013
667,HIST1H1C,-0.593,0.012
668,ATP2A2,0.017,0.905
669,FAH,0.095,0.655
670,STMN1,-0.445,0.055
671,HSPA6;HSPA7,0.502,0.003
672,HMGA1,0.562,0.022
673,GOT1,-0.15,0.201
674,CAPN2,0.099,0.47
675,PTPN2,0.203,0.486
676,PFKL,-0.971,0.051
677,TCP1,0.421,0.006
678,PTPN1,-0.298,0.075
679,RPL35A,0.262,0.086
680,RPL7,0.334,0.029
681,VCL,0.734,0.034
682,SON,-0.4,0.05
683,PGAM1;PGAM4,0.104,0.362
684,RCC1,0.253,0.061
685,NCL,0.282,0.085
686,HK1,-0.148,0.303
687,EIF2AK2,-0.705,0.003
688,SRM,-0.386,0.013
689,CSNK2A2,-0.297,0.088
