,Gene Name,log2(Fold change),P-value
445,CUTA,-0.21,0.311
446,PFDN1,0.223,0.405
447,WDR1,0.218,0.095
448,CPNE3,-0.094,0.552
449,NDUFS2,0.197,0.14
450,PDCD6,-0.174,0.187
451,ATP6V1G1,-0.542,0.01
452,H2AFY,-0.116,0.432
453,FLNB,0.932,0.001
454,SEC22B,-0.036,0.776
455,PMPCB,-0.045,0.809
456,SRSF10;FUSIP1,0.465,0.018
457,BANF1,-0.465,0.009
458,CSDE1,-0.405,0.022
459,PRKRA,-0.197,0.232
460,NPM3,0.29,0.234
461,SNRNP200,0.06,0.7
462,EIF3J,-1.639,0.162
463,IDH1,-0.435,0.11
464,BCAS2,-0.077,0.546
465,DCTN3,-0.058,0.583
466,DNAJC8,-0.126,0.493
467,ATP5H,-0.329,0.068
468,ATP5L,-0.028,0.84
469,GLRX3,-0.054,0.758
470,RSL1D1,-0.077,0.532
471,SRP72,-0.692,0.013
472,MTA2,-0.24,0.228
473,TOMM70A,0.05,0.789
474,GLS,0.182,0.456
475,PAPSS2,0.214,0.145
476,SMC2,-0.228,0.283
477,LYPLA2,-0.361,0.095
478,IPO7,0.3,0.12
479,AHSA1,-0.13,0.396
480,AP2A1;AP2A2,-0.42,0.095
481,BAG2,0.194,0.121
482,BAG3,-0.246,0.096
483,BPNT1,-0.428,0.024
484,FADS2,0.818,0.478
485,TXNDC12,-0.264,0.364
486,NDUFB10,-0.424,0.019
487,ACTL6A,-0.451,0.153
488,LDHA,0.094,0.426
489,GLUD1;GLUD2,-0.303,0.036
490,CYB5R3,-0.343,0.064
491,GSR,0.275,0.042
492,SOD1,-0.175,0.34
493,PNP,0.323,0.154
494,HPRT1,-0.217,0.257
495,GOT2,0.003,0.977
496,PGK1,-0.088,0.418
497,NRAS,-1.239,0.001
498,LMNA,-0.362,0.023
499,TFRC,0.789,0.009
500,ALDOA,-0.351,0.02
501,ANXA1,-0.05,0.693
502,SOD2,-1.819,0.0
503,OAT,0.199,0.136
504,TK1,-0.192,0.451
505,TUBB4A,0.199,0.213
506,GAPDH,0.063,0.541
507,HSPB1,-0.123,0.56
508,TYMS,-0.452,0.015
509,RPN1,-0.211,0.092
510,RPN2,0.068,0.698
511,GNAI2,-0.225,0.132
512,ATP1A1;ATP1A3,-0.4,0.011
513,ALDH2,0.049,0.763
514,SLC25A5,-0.019,0.85
515,EIF2S1,-0.063,0.648
516,RPLP1,0.131,0.237
517,RPLP2,0.331,0.042
518,RPLP0;RPLP0P6,0.316,0.025
519,SSB,-0.002,0.989
520,ITGB1,0.146,0.22
521,KRT18,0.307,0.046
522,MYL3;MYL1,0.204,0.219
523,UROD,-0.502,0.008
524,CDK1;CDC2,-0.383,0.013
525,ATP5B,-0.105,0.386
526,ENO1,-0.025,0.814
527,GPI,0.054,0.624
528,NPM1,0.175,0.268
529,LDHB,0.028,0.797
530,P4HB,-0.292,0.038
