,Gene Name,log2(Fold change),P-value
597,PRDX5,0.357,0.208
598,PRDX3,-0.59,0.096
599,RPL12,0.653,0.033
600,ECHS1,0.304,0.534
601,CMPK1,1.959,0.001
602,PEBP1,0.379,0.156
603,PDIA3,-0.052,0.812
604,PPP2R1A,0.763,0.042
605,PPIF,-0.112,0.647
606,ALDH1B1,1.571,0.003
607,SDHA,-0.938,0.019
608,MAT2A,1.547,0.006
609,DNAJA1,-1.291,0.008
610,UQCRC1,1.12,0.012
611,ATIC,0.239,0.326
612,HNRNPH3,0.509,0.25
613,YWHAB,-1.305,0.003
614,SFN,0.463,0.123
615,STIP1,1.475,0.002
616,S100A11,0.396,0.133
617,PRDX2,-0.469,0.22
618,PYCR1,0.278,0.316
619,RPL9,-0.71,0.05
620,MCM7,-0.102,0.834
621,SHMT2,0.773,0.023
622,HSPA4,0.749,0.021
623,PHB,0.197,0.438
624,RFC2,1.963,0.019
625,RPL22,0.562,0.06
626,SPR,1.04,0.018
627,MYH9,0.621,0.061
628,COPB2,2.824,0.003
629,PSMC2,1.929,0.011
630,ATP5C1,0.441,0.223
631,ATP6V1E1,-0.703,0.055
632,CPOX,0.985,0.032
633,RPL4,-0.031,0.889
634,DLST,-0.808,0.053
635,SRP14,0.184,0.509
636,TAGLN2,-0.297,0.359
637,TALDO1,0.942,0.015
638,ETFB,-1.442,0.028
639,ATP6V1A,-0.044,0.842
640,HSPA9,-0.168,0.465
641,EIF4A3,0.058,0.882
642,RPS19,0.421,0.193
643,RPL3,-0.045,0.839
644,FEN1,1.129,0.008
645,CCT6A,-0.013,0.965
646,NNMT,0.215,0.448
647,RPL13A;RPL13a,-0.304,0.406
648,MDH1,-0.137,0.564
649,MDH2,0.94,0.023
650,RFC3,1.607,0.519
651,EIF2S3;EIF2S3L,0.99,0.01
652,GARS,0.41,0.139
653,ECI1;DCI,0.85,0.014
654,TMPO,1.799,0.002
655,SKIV2L2,1.576,0.087
656,LRPPRC,0.964,0.028
657,RPL35,0.159,0.673
658,MSH2,0.909,0.15
659,MAGEA4,-0.408,0.168
660,NAMPT,0.941,0.023
661,PSMC4,0.113,0.666
662,USP5,0.591,0.071
663,RANGAP1,0.035,0.882
664,RECQL,1.557,0.012
665,NOP2,0.79,0.111
666,RPL27A,-0.31,0.468
667,RPL5,0.497,0.256
668,RPL21,-0.287,0.422
669,RPS9,0.195,0.482
670,RPS10,-0.004,0.987
671,IQGAP1,0.796,0.032
672,CAPZA2,1.153,0.017
673,CAPZB,-0.476,0.08
674,QARS,0.781,0.031
675,ATP5O,0.622,0.24
676,ARCN1,1.853,0.001
677,LSS,0.1,0.843
678,PSMD8,1.28,0.008
679,CCT5,0.058,0.842
680,RPL34,0.265,0.573
681,RPIA,0.373,0.37
682,NASP,-0.077,0.829
683,FASN,0.771,0.136
684,CCT3,0.166,0.59
685,TUFM,0.696,0.063
686,SRP9;DKFZp564M2223,2.347,0.026
687,AARS,-0.508,0.092
688,SARS,0.538,0.076
689,PSMB2,0.147,0.742
690,MCM2,0.077,0.785
691,ACADVL,-0.117,0.723
692,TMED10,1.179,0.005
693,HINT1,0.399,0.163
694,RANBP2,2.144,0.0
695,GMPS,1.218,0.004
696,GDI2,0.952,0.015
697,SERPINH1,0.452,0.104
698,PDLIM4,-0.301,0.299
699,ST13;ST13P5;ST13P4,-0.04,0.862
700,VASP,0.187,0.639
701,RPL14,-0.308,0.341
702,CCT8,0.108,0.637
703,CCT4,0.633,0.058
704,ANXA11,0.451,0.146
705,RAB5C,-0.381,0.184
706,RAB7A,-0.778,0.073
707,DUSP3,0.571,0.367
708,SSR4,0.905,0.026
709,PSMD7,0.864,0.069
710,HDGF,1.68,0.139
711,HNRNPA3,0.751,0.096
712,PGD,0.797,0.023
713,HNRNPM,0.017,0.942
714,KPNA2,-1.581,0.003
715,ARHGDIA,0.763,0.052
716,HNRNPF,-0.094,0.674
717,SMS,1.344,0.076
718,THOP1,0.522,0.177
719,CAPZA1,0.585,0.129
720,BLVRA,0.146,0.603
721,SLC25A1,-0.67,0.701
722,ACLY,0.54,0.06
723,SUCLG1,1.483,0.003
724,COPB1,1.235,0.006
725,SUB1,0.91,0.136
726,RARS,-0.118,0.735
727,YARS,0.22,0.511
728,BCAT1,0.036,0.916
729,ALDH18A1,1.627,0.003
730,EIF5,1.077,0.26
731,PSMD4,-0.096,0.876
732,CSE1L,1.391,0.002
733,VCP,0.836,0.016
734,HADHB,0.688,0.041
735,ADK,1.247,0.003
736,ADAR,0.816,0.023
737,SEC13,1.261,0.007
738,HNRNPH2,0.155,0.532
739,EIF3B,0.6,0.111
740,MARS,-1.136,0.261
741,ATP5I,-0.29,0.271
742,EIF6,-0.349,0.361
743,CTBP2,0.714,0.038
744,ARPC4;ARPC4-TTLL3,1.173,0.01
745,SEC61G,-1.794,0.009
746,TPI1,-0.977,0.011
747,EIF3E,1.375,0.003
748,EIF4A1,-0.27,0.319
749,RPS20,0.397,0.167
750,S100A10,0.471,0.165
751,CDC42,0.978,0.019
752,DSTN,0.178,0.444
753,RAB2A,-0.484,0.144
754,RAB10,-0.922,0.025
755,UBE2M,1.528,0.087
756,UBE2K,-2.018,0.087
757,RAB14,0.433,0.266
758,ACTR3,0.98,0.109
759,ACTR2,2.18,0.001
760,ACTR1A,0.155,0.714
761,ABCE1,1.118,0.008
762,RAP1B;RAP1A,-0.785,0.102
763,RPS3A,0.29,0.44
764,RPL26;RPL26L1,0.286,0.424
765,RPL15,0.357,0.253
766,RPL27,0.095,0.675
767,RPL37A,0.353,0.473
768,RHOA,-0.555,0.067
769,HSPE1;HSPE1-MOB4,-0.126,0.59
770,VBP1,1.755,0.11
771,NUTF2,-0.085,0.761
772,HNRNPK,-0.562,0.083
773,YWHAG,1.373,0.115
774,RPS7,-0.212,0.378
775,PPP1CA,-0.346,0.223
776,PSMC1,1.893,0.021
777,PSMC5,1.596,0.01
778,RPS8,-0.396,0.218
779,RPS15A,0.206,0.516
780,RPS16,0.295,0.242
781,YWHAE,0.845,0.05
782,RPS23,0.348,0.226
783,RPS18,-0.601,0.109
784,RPS29,-1.143,0.008
785,RPS13,0.391,0.144
786,RPS11,0.791,0.271
787,SNRPE,-0.896,0.015
788,SNRPF,-0.765,0.048
789,LSM3,0.843,0.185
790,SNRPD1,-0.095,0.826
791,SNRPD2,-0.01,0.972
792,SNRPD3,-0.725,0.178
793,PSMC6,0.698,0.035
794,RPL7A,-0.145,0.521
795,ETF1,1.551,0.007
